subid,condition,stimulus,hit_minus_fa,group
49,SO_SS,object,0.3,YA
50,DO_SS,scene,0.191176,YA
50,DO_SS,object,0.8,YA
50,SO_DS,scene,0.920588,YA
50,SO_DS,object,0.582353,YA
50,SO_SS,scene,0.202941,YA
50,SO_SS,object,0.411765,YA
51,DO_SS,scene,0.45,YA
51,DO_SS,object,0.920588,YA
51,SO_DS,scene,1,YA
51,SO_DS,object,0.861765,YA
51,SO_SS,scene,0.570588,YA
51,SO_SS,object,0.682353,YA
101,DO_SS,scene,0.282353,OA
101,DO_SS,object,0.791176,OA
101,SO_DS,scene,0.661765,OA
101,SO_DS,object,0.091176,OA
101,SO_SS,scene,0.3,OA
101,SO_SS,object,0.020588,OA
102,DO_SS,scene,0.791176,OA
102,DO_SS,object,0.841176,OA
102,SO_DS,scene,0.794118,OA
102,SO_DS,object,0.623529,OA
102,SO_SS,scene,0.573529,OA
102,SO_SS,object,0.823529,OA
103,DO_SS,scene,0.852941,OA
103,DO_SS,object,0.832353,OA
103,SO_DS,scene,0.941176,OA
103,SO_DS,object,0.473529,OA
103,SO_SS,scene,0.597059,OA
103,SO_SS,object,0.417647,OA
104,DO_SS,scene,0.732353,OA
104,DO_SS,object,1,OA
104,SO_DS,scene,0.911765,OA
104,SO_DS,object,0.720588,OA
104,SO_SS,scene,0.597059,OA
104,SO_SS,object,0.711765,OA
105,DO_SS,scene,0.311765,OA
105,DO_SS,object,0.95,OA
105,SO_DS,scene,0.732353,OA
105,SO_DS,object,0.332353,OA
105,SO_SS,scene,0.482353,OA
105,SO_SS,object,0.464706,OA
106,DO_SS,scene,0.341176,OA
106,DO_SS,object,0.920588,OA
106,SO_DS,scene,1,OA
106,SO_DS,object,0.773529,OA
106,SO_SS,scene,0.661765,OA
106,SO_SS,object,0.882353,OA
107,DO_SS,scene,0.402941,OA
107,DO_SS,object,0.941176,OA
107,SO_DS,scene,0.632353,OA
107,SO_DS,object,0.488235,OA
107,SO_SS,scene,0.241176,OA
107,SO_SS,object,0.647059,OA
108,DO_SS,scene,0.511765,OA
108,DO_SS,object,0.741176,OA
108,SO_DS,scene,0.773529,OA
108,SO_DS,object,0.394118,OA
108,SO_SS,scene,0.285294,OA
108,SO_SS,object,0.373529,OA
109,DO_SS,scene,0.491176,OA
109,DO_SS,object,0.9,OA
109,SO_DS,scene,0.9,OA
109,SO_DS,object,0.091176,OA
109,SO_SS,scene,0.55,OA
109,SO_SS,object,0.45,OA
110,DO_SS,scene,0.558824,OA
110,DO_SS,object,0.882353,OA
110,SO_DS,scene,0.773529,OA
110,SO_DS,object,0.282353,OA
110,SO_SS,scene,0.479412,OA
110,SO_SS,object,0.388235,OA
111,DO_SS,scene,0.491176,OA
111,DO_SS,object,0.920588,OA
111,SO_DS,scene,0.9,OA
111,SO_DS,object,0.570588,OA
111,SO_SS,scene,0.491176,OA
111,SO_SS,object,0.652941,OA
112,DO_SS,scene,0.241176,OA
112,DO_SS,object,0.95,OA
112,SO_DS,scene,0.95,OA
112,SO_DS,object,0.770588,OA
112,SO_SS,scene,0.432353,OA
112,SO_SS,object,0.652941,OA
113,DO_SS,scene,0.65,OA
113,DO_SS,object,0.85,OA
113,SO_DS,scene,0.9,OA
113,SO_DS,object,0.594118,OA
113,SO_SS,scene,0.670588,OA
113,SO_SS,object,0.652941,OA
114,DO_SS,scene,0.561765,OA
114,DO_SS,object,0.911765,OA
114,SO_DS,scene,0.670588,OA
114,SO_DS,object,0.5,OA
114,SO_SS,scene,0.4,OA
114,SO_SS,object,0.432353,OA
115,DO_SS,scene,0.632353,OA
115,DO_SS,object,0.95,OA
115,SO_DS,scene,1,OA
115,SO_DS,object,0.832353,OA
115,SO_SS,scene,0.673529,OA
115,SO_SS,object,0.802941,OA
116,DO_SS,scene,0.261765,OA
116,DO_SS,object,0.9,OA
116,SO_DS,scene,0.641176,OA
116,SO_DS,object,0.452941,OA
116,SO_SS,scene,0.461765,OA
116,SO_SS,object,0.314706,OA
117,DO_SS,scene,0.552941,OA
117,DO_SS,object,1,OA
117,SO_DS,scene,0.95,OA
117,SO_DS,object,0.373529,OA
117,SO_SS,scene,0.761765,OA
117,SO_SS,object,0.332353,OA
118,DO_SS,scene,0.514706,OA
118,DO_SS,object,1,OA
118,SO_DS,scene,0.920588,OA
118,SO_DS,object,0.455882,OA
118,SO_SS,scene,0.414706,OA
118,SO_SS,object,0.614706,OA
119,DO_SS,scene,0.520588,OA
119,DO_SS,object,0.911765,OA
119,SO_DS,scene,0.761765,OA
119,SO_DS,object,0.702941,OA
119,SO_SS,scene,0.432353,OA
119,SO_SS,object,0.320588,OA
120,DO_SS,scene,0.744118,OA
120,DO_SS,object,0.970588,OA
120,SO_DS,scene,0.970588,OA
120,SO_DS,object,0.623529,OA
120,SO_SS,scene,0.832353,OA
120,SO_SS,object,0.426471,OA
141,DO_SS,scene,0.594118,OA
141,DO_SS,object,0.811765,OA
141,SO_DS,scene,0.782353,OA
141,SO_DS,object,0.447059,OA
141,SO_SS,scene,0.623529,OA
141,SO_SS,object,0.414706,OA
142,DO_SS,scene,0.161765,OA
142,DO_SS,object,0.732353,OA
142,SO_DS,scene,0.444118,OA
142,SO_DS,object,-0.01471,OA
142,SO_SS,scene,0.235294,OA
142,SO_SS,object,0.285294,OA
143,DO_SS,scene,0.670588,OA
143,DO_SS,object,0.820588,OA
143,SO_DS,scene,0.970588,OA
143,SO_DS,object,0.605882,OA
143,SO_SS,scene,0.611765,OA
143,SO_SS,object,0.652941,OA
144,DO_SS,scene,0.641176,OA
144,DO_SS,object,0.770588,OA
