,participant,block,taskID,stimulus_ID,stimulus_distractor,stimulus_congruency,response_ID,accuracy,rt
132,6001,1,spatial,L,R,I,L,1,319.67
133,6001,1,spatial,R,L,I,R,1,337.17
134,6001,1,spatial,L,L,C,L,1,245.65
135,6001,1,spatial,R,L,I,R,1,341.26
136,6001,1,spatial,L,L,C,L,1,374.57
137,6001,1,spatial,L,R,I,L,1,384.45
138,6001,1,spatial,R,R,C,R,1,534.89
139,6001,1,spatial,L,R,I,L,1,318.38
140,6001,1,spatial,R,R,C,R,1,343.97
141,6001,1,spatial,L,R,I,L,1,299.18
142,6001,1,spatial,R,L,I,R,1,394.77
143,6001,1,spatial,L,L,C,L,1,328.67
144,6001,1,spatial,L,R,I,L,1,431.73
145,6001,1,spatial,R,R,C,R,1,457.41
146,6001,1,spatial,L,L,C,L,1,366
147,6001,1,spatial,R,L,I,R,1,430.49
148,6001,1,spatial,R,R,C,R,1,565.28
149,6001,1,spatial,R,L,I,R,1,481.52
150,6001,1,spatial,L,R,I,L,1,475.93
151,6001,1,spatial,R,R,C,R,1,454.28
152,6001,1,spatial,L,R,I,L,1,417.93
153,6001,1,spatial,R,L,I,R,1,326.41
154,6001,1,spatial,R,R,C,R,1,898.26
155,6001,1,spatial,L,R,I,L,1,385.32
156,6001,1,spatial,R,L,I,R,1,278.05
157,6001,1,spatial,L,L,C,L,1,319.08
158,6001,1,spatial,R,L,I,R,1,250.59
159,6001,1,spatial,L,L,C,L,1,299.38
160,6001,1,spatial,R,R,C,R,1,316.99
161,6001,1,spatial,L,R,I,L,1,281.31
162,6001,1,spatial,R,R,C,R,1,228.51
163,6001,1,spatial,L,L,C,L,1,277.29
164,6001,1,spatial,R,L,I,R,1,255.85
165,6001,1,spatial,L,L,C,L,1,320.16
166,6001,1,spatial,R,L,I,R,1,213.12
167,6001,1,spatial,R,R,C,R,1,558.41
168,6001,1,spatial,L,R,I,L,1,366.95
169,6001,1,spatial,L,L,C,L,1,548.43
170,6001,1,spatial,R,L,I,R,1,410.11
171,6001,1,spatial,L,L,C,L,1,366.86
172,6001,1,spatial,L,R,I,L,1,634.25
173,6001,1,spatial,R,R,C,R,1,402.17
174,6001,1,spatial,R,L,I,R,1,499.65
175,6001,1,spatial,L,L,C,L,1,368.99
176,6001,1,spatial,R,R,C,R,1,300.86
